domain_name,returned_record,record_type,v,p,pct,rua,ruf,sp,adkim,aspf,others,invalid_flags,config_v_p_order,config_v,config_p,config_pct,config_sp,raw_data
ALBANYNY.GOV,Yes,TXT,DMARC1,reject,100,mailto:networkadministrator@albanyny.gov,mailto:networkadministrator@albanyny.gov,reject,,,ri=84600 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; pct=100;rua=mailto:networkadministrator@albanyny.gov; ruf=mailto:networkadministrator@albanyny.gov; sp=reject; ri=84600"""
ALAMOHEIGHTSTX.GOV,No,,,,,,,,,,,,,,,,,
AFTONWYOMING.GOV,No,,,,,,,,,,,,,,,,,
ALEXANDRIAVA.GOV,No,,,,,,,,,,,,,,,,,
ADELANTOCA.GOV,No,,,,,,,,,,,,,,,,,
ABITASPRINGSLA.GOV,No,,,,,,,,,,,,,,,,,
ADDISONTX.GOV,No,,,,,,,,,,,,,,,,,
ABINGTONPA.GOV,No,,,,,,,,,,,,,,,,,
ALFREDME.GOV,Yes,TXT,DMARC1,reject,100,mailto:dlowe@alfredme.gov,mailto:dlowe@alfredme.gov,none,r,r,fo=0 rf=afrf ri=3600 ,,Valid,Valid,Valid,Valid,"Very bad: p=reject, sp=none: Ignores subdomain DMARC fails and permits subdomain spoofing","""v=DMARC1; p=reject; sp=none; adkim=r; aspf=r; pct=100; fo=0; rf=afrf; ri=3600; rua=mailto:dlowe@alfredme.gov; ruf=mailto:dlowe@alfredme.gov"""
BRYCECANYONCITYUT.GOV,No,,,,,,,,,,,,,,,,,
ALGOODTN.GOV,No,,,,,,,,,,,,,,,,,
BETHEL-CT.GOV,No,,,,,,,,,,,,,,,,,
BROOKLYNWI.GOV,No,,,,,,,,,,,,,,,,,
BROWNSVILLETN.GOV,Yes,TXT,DMARC1,reject,100,,,none,,,rf=afrf ri=86400 ,,Valid,Valid,Valid,Valid,"Very bad: p=reject, sp=none: Ignores subdomain DMARC fails and permits subdomain spoofing","""v=DMARC1; p=reject; sp=none; rf=afrf; pct=100; ri=86400"""
BROKENARROWOK.GOV,Yes,TXT,DMARC1,none,,mailto:jfreeman@brokenarrowok.gov,mailto:jfreeman@brokenarrowok.gov,,,,fo=1 ri=3600 ,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:jfreeman@brokenarrowok.gov; ruf=mailto:jfreeman@brokenarrowok.gov; fo=1; ri=3600;"""
BRANFORD-CT.GOV,No,,,,,,,,,,,,,,,,,
CALEDONIAMN.GOV,No,,,,,,,,,,,,,,,,,
CANTONGA.GOV,No,,,,,,,,,,,,,,,,,
ADAMN.GOV,No,,,,,,,,,,,,,,,,,
ABSECONNJ.GOV,No,,,,,,,,,,,,,,,,,
BUDATX.GOV,No,,,,,,,,,,,,,,,,,
CANTONTWP-OH.GOV,No,,,,,,,,,,,,,,,,,
CAMPBELLOHIO.GOV,No,,,,,,,,,,,,,,,,,
CITYOFLAGRANGEMO.GOV,No,,,,,,,,,,,,,,,,,
CANTONNY.GOV,No,,,,,,,,,,,,,,,,,
BURLINGTONWA.GOV,No,,,,,,,,,,,,,,,,,
CANTONOHIO.GOV,No,,,,,,,,,,,,,,,,,
CITYOFLADUE-MO.GOV,Yes,TXT,DMARC1,reject,,mailto:rua+cityofladue-mo.gov@dmarc.barracudanetworks.com,mailto:ruf+cityofladue-mo.gov@dmarc.barracudanetworks.com,,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; fo=1; rua=mailto:rua+cityofladue-mo.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+cityofladue-mo.gov@dmarc.barracudanetworks.com"""
CENTENNIALCO.GOV,No,,,,,,,,,,,,,,,,,
CHARLOTTESVILLE.GOV,No,,,,,,,,,,,,,,,,,
CHARLESTOWNRI.GOV,No,,,,,,,,,,,,,,,,,
ABINGDON-VA.GOV,No,,,,,,,,,,,,,,,,,
CHAMBLEEGA.GOV,No,,,,,,,,,,,,,,,,,
APPLEVALLEYUT.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHOLYOKE-CO.GOV,No,,,,,,,,,,,,,,,,,
BOYLSTON-MA.GOV,No,,,,,,,,,,,,,,,,,
BUENAVISTACO.GOV,No,,,,,,,,,,,,,,,,,
CAYCESC.GOV,No,,,,,,,,,,,,,,,,,
CARTERSVILLEGA.GOV,No,,,,,,,,,,,,,,,,,
CENTRALFALLSRI.GOV,Yes,TXT,DMARC1,none,,mailto:postmaster@cfpd.centralfallsri.gov,mailto:postmaster@cfpd.centralfallsri.gov,,,,fo=1 ,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:postmaster@cfpd.centralfallsri.gov; ruf=mailto:postmaster@cfpd.centralfallsri.gov; fo=1"""
ALMONTMICHIGAN.GOV,No,,,,,,,,,,,,,,,,,
CHESTNUTHILLTWP-PA.GOV,No,,,,,,,,,,,,,,,,,
BISBEEAZ.GOV,No,,,,,,,,,,,,,,,,,
ANNETTATX.GOV,No,,,,,,,,,,,,,,,,,
CITYOFELKHARTTX.GOV,Yes,TXT,DMARC1,quarantine,,,,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1;p=quarantine"""
CAPECORAL.GOV,Yes,TXT,DMARC1,quarantine,,mailto:systems@capecoral.net,mailto:systems@capecoral.net,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; rua=mailto:systems@capecoral.net; ruf=mailto:systems@capecoral.net"""
ISSAQUAHWA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFCLAYTONGA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFALMATX.GOV,No,,,,,,,,,,,,,,,,,
CHARLOTTENC.GOV,No,,,,,,,,,,,,,,,,,
ALTUSOK.GOV,No,,,,,,,,,,,,,,,,,
CITYOFKINGMAN.GOV,No,,,,,,,,,,,,,,,,,
CECILGA.GOV,Yes,TXT,,,,,,,,,,,,,,,,"""v=spf1 ip4:173.18.54.163 include:spf.protection.outlook.com -all"""
ACTON-MA.GOV,Yes,TXT,DMARC1,quarantine,10,"mailto:dmarc@acton-ma.gov,mailto:nf9e6cxh@ag.dmarcian.com",mailto:nf9e6cxh@fr.dmarcian.com,,,,,,Valid,Valid,Valid,Very bad: 10,Valid,"""v=DMARC1; p=quarantine; rua=mailto:dmarc@acton-ma.gov,mailto:nf9e6cxh@ag.dmarcian.com; ruf=mailto:nf9e6cxh@fr.dmarcian.com; pct=10;"""
BELLERIVEACRESMO.GOV,No,,,,,,,,,,,,,,,,,
COVINGTONKY.GOV,No,,,,,,,,,,,,,,,,,
ALTOONAPA.GOV,No,,,,,,,,,,,,,,,,,
CARROLLTON-GA.GOV,No,,,,,,,,,,,,,,,,,
CHARLEVOIXMI.GOV,No,,,,,,,,,,,,,,,,,
SALISBURYNC.GOV,Yes,TXT,DMARC1,none,,mailto:b7e1d6c382f2622@rep.dmarcanalyzer.com,,,,,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:b7e1d6c382f2622@rep.dmarcanalyzer.com;"""
ALGONAWA.GOV,No,,,,,,,,,,,,,,,,,
PATAGONIA-AZ.GOV,No,,,,,,,,,,,,,,,,,
CITYOFMADERA.GOV,No,,,,,,,,,,,,,,,,,
CASAGRANDEAZ.GOV,No,,,,,,,,,,,,,,,,,
PORTLANDTX.GOV,No,,,,,,,,,,,,,,,,,
ERLANGERKY.GOV,No,,,,,,,,,,,,,,,,,
CENTERVILLEUTAH.GOV,No,,,,,,,,,,,,,,,,,
CHICAGO.GOV,Yes,TXT,DMARC1,none,,,,,,,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none"""
CISCOTEXAS.GOV,No,,,,,,,,,,,,,,,,,
ASHGROVEMO.GOV,No,,,,,,,,,,,,,,,,,
AMARILLO.GOV,No,,,,,,,,,,,,,,,,,
SYLACAUGAAL.GOV,No,,,,,,,,,,,,,,,,,
ALVIN-TX.GOV,No,,,,,,,,,,,,,,,,,
CANYONLAKECA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFBOWMANGA.GOV,No,,,,,,,,,,,,,,,,,
ATKINSON-NH.GOV,No,,,,,,,,,,,,,,,,,
TTD.GOV,No,,,,,,,,,,,,,,,,,
ALGERCOUNTY.GOV,No,,,,,,,,,,,,,,,,,
EASTONMD.GOV,No,,,,,,,,,,,,,,,,,
AMENIANY.GOV,No,,,,,,,,,,,,,,,,,
ALEDOTX.GOV,No,,,,,,,,,,,,,,,,,
ACTONMA.GOV,No,,,,,,,,,,,,,,,,,
BUFFALONY.GOV,No,,,,,,,,,,,,,,,,,
